"Week","Month","Year","Item Desc WSS","Item Seq WSS","Amount"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1 Foreign Currency Assets","14","7527.38"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","5 Bills Purchased and Discounted","26",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1 Notes Issued","1","4691.29"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","7 Other Assets","30","43.02"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","6 Investments","29","39.73"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","3 Rupee Securities (including Treasury Bills)","16","1024.47"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","5.2 Treasury","28",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","5.1 Commercial","27",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.8 Others","25","3.73"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.7 Export-Import Bank of India","24",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.3 NABARD","20","26.69"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.6 Industrial Development Bank of India","23",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.5 Scheduled State Co-op.Banks","22","0.21"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.4 Scheduled Commercial Banks","21","48.93"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.2 State Governments ","19","4.72"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.1 Central Government","18",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4 Loans and Advances","17","84.28"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","3 Other Liabilities","12","1748.11"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.7 Others","11","117.53"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.6 Other Banks","10","69.58"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.5 Scheduled State Co-operative Banks","9","19.45"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.4 Scheduled Commercial Banks","8","1530.79"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.3 State Governments","7","0.41"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.2 Market Stabilisation Scheme","6","373.14"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.1 Central Government","5","456.82"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2 Deposits","4","2567.72"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2 Gold Coin and Bullion","15","288.24"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","Total Liabilities /Assets","13","9007.12"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1.2 Notes held in Banking Department","3","0.17"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1.1 Notes in Circulation","2","4691.12"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","1 Foreign Currency Assets","14","7509.83"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","5 Bills Purchased and Discounted","26",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","1 Notes Issued","1","4730.26"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","7 Other Assets","30","45.75"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","6 Investments","29","39.73"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","3 Rupee Securities (including Treasury Bills)","16","634.08"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","5.2 Treasury","28",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","5.1 Commercial","27",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.8 Others","25","2.14"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.7 Export-Import Bank of India","24",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.3 NABARD","20","29.77"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.6 Industrial Development Bank of India","23",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.5 Scheduled State Co-op.Banks","22",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.4 Scheduled Commercial Banks","21","13.14"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.2 State Governments ","19","6.49"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4.1 Central Government","18",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","4 Loans and Advances","17","51.54"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","3 Other Liabilities","12","1688.12"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2.7 Others","11","116.01"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2.6 Other Banks","10","68.78"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2.5 Scheduled State Co-operative Banks","9","17.53"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2.4 Scheduled Commercial Banks","8","1303.41"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2.3 State Governments","7","0.41"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2.2 Market Stabilisation Scheme","6","382.45"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2.1 Central Government","5","262.19"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2 Deposits","4","2150.78"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","2 Gold Coin and Bullion","15","288.24"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","Total Liabilities /Assets","13","8569.17"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","1.2 Notes held in Banking Department","3","0.22"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","1.1 Notes in Circulation","2","4730.04"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","1 Foreign Currency Assets","14","7600.06"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","5 Bills Purchased and Discounted","26",""
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","1 Notes Issued","1","4784.49"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","7 Other Assets","30","39.14"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","6 Investments","29","39.73"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","3 Rupee Securities (including Treasury Bills)","16","903.86"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","5.2 Treasury","28",""
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","5.1 Commercial","27",""
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.8 Others","25","4.72"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.7 Export-Import Bank of India","24",""
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.3 NABARD","20","26.46"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.6 Industrial Development Bank of India","23",""
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.5 Scheduled State Co-op.Banks","22","0.21"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.4 Scheduled Commercial Banks","21","38.82"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.2 State Governments ","19","4.02"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4.1 Central Government","18",""
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","4 Loans and Advances","17","74.23"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","3 Other Liabilities","12","1767"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2.7 Others","11","114.85"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2.6 Other Banks","10","70.98"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2.5 Scheduled State Co-operative Banks","9","20.89"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2.4 Scheduled Commercial Banks","8","1463.35"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2.3 State Governments","7","0.41"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2.2 Market Stabilisation Scheme","6","401"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2.1 Central Government","5","322.29"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2 Deposits","4","2393.77"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","2 Gold Coin and Bullion","15","288.24"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","Total Liabilities /Assets","13","8945.26"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","1.2 Notes held in Banking Department","3","0.17"
"2007/01/12 00:00:00","2007/01/12 00:00:00","2006-07   ","1.1 Notes in Circulation","2","4784.32"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","1 Foreign Currency Assets","14","5388.32"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","5 Bills Purchased and Discounted","26",""
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","1 Notes Issued","1","3521.9"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","7 Other Assets","30","64.19"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","6 Investments","29","44.73"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","3 Rupee Securities (including Treasury Bills)","16","955.84"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","5.2 Treasury","28",""
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","5.1 Commercial","27",""
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.8 Others","25","2.59"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.7 Export-Import Bank of India","24",""
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.3 NABARD","20","30.81"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.6 Industrial Development Bank of India","23",""
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.5 Scheduled State Co-op.Banks","22","0.34"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.4 Scheduled Commercial Banks","21","22.08"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.2 State Governments ","19","44.77"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4.1 Central Government","18",""
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","4 Loans and Advances","17","100.59"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","3 Other Liabilities","12","1419.59"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2.7 Others","11","116.7"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2.6 Other Banks","10","52"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2.5 Scheduled State Co-operative Banks","9","18.2"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2.4 Scheduled Commercial Banks","8","960.92"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2.3 State Governments","7","0.41"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2.2 Market Stabilisation Scheme","6","548.36"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2.1 Central Government","5","113.33"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2 Deposits","4","1809.92"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","2 Gold Coin and Bullion","15","197.76"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","Total Liabilities /Assets","13","6751.42"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","1.2 Notes held in Banking Department","3","0.16"
"2004/11/19 00:00:00","2004/11/19 00:00:00","2004-05   ","1.1 Notes in Circulation","2","3521.75"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","1 Foreign Currency Assets","14","5458.01"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","5 Bills Purchased and Discounted","26",""
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","1 Notes Issued","1","3475.53"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","7 Other Assets","30","67.5"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","6 Investments","29","44.73"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","3 Rupee Securities (including Treasury Bills)","16","723.21"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","5.2 Treasury","28",""
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","5.1 Commercial","27",""
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.8 Others","25","0.9"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.7 Export-Import Bank of India","24",""
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.3 NABARD","20","42.05"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.6 Industrial Development Bank of India","23",""
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.5 Scheduled State Co-op.Banks","22","0.03"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.4 Scheduled Commercial Banks","21","0.08"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.2 State Governments ","19","42.54"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4.1 Central Government","18",""
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","4 Loans and Advances","17","85.6"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","3 Other Liabilities","12","1457.65"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2.7 Others","11","94.31"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2.6 Other Banks","10","50.91"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2.5 Scheduled State Co-operative Banks","9","18.04"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2.4 Scheduled Commercial Banks","8","894.42"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2.3 State Governments","7","1.01"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2.2 Market Stabilisation Scheme","6","518.72"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2.1 Central Government","5","66.18"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2 Deposits","4","1643.59"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","2 Gold Coin and Bullion","15","197.76"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","Total Liabilities /Assets","13","6576.78"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","1.2 Notes held in Banking Department","3","0.13"
"2004/11/26 00:00:00","2004/11/26 00:00:00","2004-05   ","1.1 Notes in Circulation","2","3475.39"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","1 Foreign Currency Assets","14","5519.44"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","5 Bills Purchased and Discounted","26",""
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","1 Notes Issued","1","3484.67"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","7 Other Assets","30","86.46"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","6 Investments","29","44.73"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","3 Rupee Securities (including Treasury Bills)","16","591.8"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","5.2 Treasury","28",""
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","5.1 Commercial","27",""
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.8 Others","25","0.9"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.7 Export-Import Bank of India","24",""
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.3 NABARD","20","19.34"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.6 Industrial Development Bank of India","23",""
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.5 Scheduled State Co-op.Banks","22","0.03"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.4 Scheduled Commercial Banks","21",""
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.2 State Governments ","19","7.61"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4.1 Central Government","18",""
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","4 Loans and Advances","17","27.88"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","3 Other Liabilities","12","1416.97"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2.7 Others","11","93.99"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2.6 Other Banks","10","52.14"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2.5 Scheduled State Co-operative Banks","9","19.15"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2.4 Scheduled Commercial Banks","8","901.24"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2.3 State Governments","7","0.41"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2.2 Market Stabilisation Scheme","6","503.89"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2.1 Central Government","5","1.01"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2 Deposits","4","1571.83"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","2 Gold Coin and Bullion","15","203.16"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","Total Liabilities /Assets","13","6473.47"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","1.2 Notes held in Banking Department","3","0.14"
"2004/12/03 00:00:00","2004/12/03 00:00:00","2004-05   ","1.1 Notes in Circulation","2","3484.53"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","1 Foreign Currency Assets","14","6367.92"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","5 Bills Purchased and Discounted","26",""
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","1 Notes Issued","1","3997.37"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","7 Other Assets","30","68.69"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","6 Investments","29","39.73"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","3 Rupee Securities (including Treasury Bills)","16","610.27"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","5.2 Treasury","28",""
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","5.1 Commercial","27",""
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.8 Others","25","0.87"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.7 Export-Import Bank of India","24",""
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.3 NABARD","20","19.75"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.6 Industrial Development Bank of India","23",""
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.5 Scheduled State Co-op.Banks","22","0.09"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.4 Scheduled Commercial Banks","21",""
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.2 State Governments ","19","4.03"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4.1 Central Government","18",""
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","4 Loans and Advances","17","24.74"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","3 Other Liabilities","12","1423.88"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2.7 Others","11","99.79"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2.6 Other Banks","10","55.17"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2.5 Scheduled State Co-operative Banks","9","16.26"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2.4 Scheduled Commercial Banks","8","1075.08"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2.3 State Governments","7","0.41"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2.2 Market Stabilisation Scheme","6","555"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2.1 Central Government","5","114.63"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2 Deposits","4","1916.34"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","2 Gold Coin and Bullion","15","226.26"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","Total Liabilities /Assets","13","7337.6"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","1.2 Notes held in Banking Department","3","0.14"
"2005/12/09 00:00:00","2005/12/09 00:00:00","2005-06   ","1.1 Notes in Circulation","2","3997.23"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","1 Foreign Currency Assets","14","6299.49"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","5 Bills Purchased and Discounted","26",""
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","1 Notes Issued","1","4009.06"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","7 Other Assets","30","63.54"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","6 Investments","29","39.73"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","3 Rupee Securities (including Treasury Bills)","16","706.18"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","5.2 Treasury","28",""
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","5.1 Commercial","27",""
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.8 Others","25","0.87"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.7 Export-Import Bank of India","24",""
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.3 NABARD","20","20.03"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.6 Industrial Development Bank of India","23",""
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.5 Scheduled State Co-op.Banks","22","0.24"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.4 Scheduled Commercial Banks","21","0.75"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.2 State Governments ","19",""
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4.1 Central Government","18",""
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","4 Loans and Advances","17","21.89"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","3 Other Liabilities","12","1350.7"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2.7 Others","11","98.99"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2.6 Other Banks","10","54.65"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2.5 Scheduled State Co-operative Banks","9","17.65"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2.4 Scheduled Commercial Banks","8","1187.76"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2.3 State Governments","7","0.41"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2.2 Market Stabilisation Scheme","6","510.7"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2.1 Central Government","5","127.16"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2 Deposits","4","1997.32"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","2 Gold Coin and Bullion","15","226.26"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","Total Liabilities /Assets","13","7357.08"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","1.2 Notes held in Banking Department","3","0.11"
"2005/12/16 00:00:00","2005/12/16 00:00:00","2005-06   ","1.1 Notes in Circulation","2","4008.95"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","1 Foreign Currency Assets","14","7585.14"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","5 Bills Purchased and Discounted","26",""
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","1 Notes Issued","1","4802.13"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","7 Other Assets","30","38.8"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","6 Investments","29","39.73"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","3 Rupee Securities (including Treasury Bills)","16","810.24"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","5.2 Treasury","28",""
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","5.1 Commercial","27",""
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.8 Others","25","7.02"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.7 Export-Import Bank of India","24",""
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.3 NABARD","20","27.79"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.6 Industrial Development Bank of India","23",""
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.5 Scheduled State Co-op.Banks","22","0.01"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.4 Scheduled Commercial Banks","21","37.06"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.2 State Governments ","19","1.6"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4.1 Central Government","18",""
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","4 Loans and Advances","17","73.48"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","3 Other Liabilities","12","1746.24"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","2.7 Others","11","118.34"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","2.6 Other Banks","10","71.05"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","2.5 Scheduled State Co-operative Banks","9","19.3"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","2.4 Scheduled Commercial Banks","8","1387.95"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","2.3 State Governments","7","0.41"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","2.2 Market Stabilisation Scheme","6","404.91"
"2007/01/19 00:00:00","2007/01/19 00:00:00","2006-07   ","2.1 Central Government","5","285.28"
